Plot,Distance,Census,Patch_Size,Prox,Tot_Aphids,Tot_Lfts,Tot_Grz
2010-10,500,One,484.93,39.19,124,342,61
2010-11,0,One,2.4,23.59,71,161,18
2010-11,50,One,2.4,23.59,10,281,19
2010-11,100,One,2.4,23.59,94,195,38
2010-11,200,One,2.4,23.59,61,323,38
2010-11,500,One,2.4,23.59,38,227,59
2010-12,0,One,696.4,2194.02,46,174,16
2010-12,50,One,696.4,2194.02,195,155,6
2010-12,100,One,696.4,2194.02,65,188,22
2010-12,200,One,696.4,2194.02,56,167,16
2010-12,500,One,696.4,2194.02,21,167,16
2010-13,0,One,0.52,2194.02,34,191,5
2010-13,50,One,0.52,2194.02,78,295,67
2010-13,100,One,0.52,2194.02,32,209,22
2010-13,200,One,0.52,2194.02,35,185,57
2010-13,500,One,0.52,2194.02,33,220,69
2010-14,0,One,696.4,2194.02,8,86,4
2010-14,50,One,696.4,2194.02,67,140,26
2010-14,100,One,696.4,2194.02,39,120,33
2010-14,200,One,696.4,2194.02,7,151,45
2010-14,500,One,696.4,2194.02,11,162,52
2010-15,0,One,4880.94,938.47,0,101,11
2010-15,50,One,4880.94,938.47,87,217,38
2010-15,100,One,4880.94,938.47,85,172,32
2010-15,200,One,4880.94,938.47,44,218,36
2010-15,500,One,4880.94,938.47,38,298,77
2010-01,0,Two,4.86,0.98,13,102,11
2010-01,50,Two,4.86,0.98,11,216,8
2010-01,100,Two,4.86,0.98,2,156,17
2010-01,200,Two,4.86,0.98,9,157,7
2010-01,500,Two,4.86,0.98,6,156,7
2010-02,0,Two,2.1,10.13,45,215,18
2010-02,50,Two,2.1,10.13,140,214,28
2010-02,100,Two,2.1,10.13,36,191,45
2010-02,200,Two,2.1,10.13,56,110,17
2010-02,500,Two,2.1,10.13,32,193,22
2010-03,0,Two,1397.36,4550.85,28,103,28
2010-03,50,Two,1397.36,4550.85,15,170,54
2010-03,100,Two,1397.36,4550.85,16,138,56
2010-03,200,Two,1397.36,4550.85,2,140,51
2010-03,500,Two,1397.36,4550.85,6,166,80
2010-04,0,Two,9.64,3.04,2,156,7
2010-04,50,Two,9.64,3.04,25,236,18
2010-04,100,Two,9.64,3.04,46,146,13
2010-04,200,Two,9.64,3.04,2,190,16
2010-04,500,Two,9.64,3.04,10,213,33
2010-05,0,Two,5.5,277.26,39,132,17
2010-05,50,Two,5.5,277.26,137,259,71
2010-05,100,Two,5.5,277.26,49,261,41
2010-05,200,Two,5.5,277.26,200,215,41
2010-05,500,Two,5.5,277.26,39,179,18
2010-06,0,Two,10.91,43.16,70,122,19
2010-06,50,Two,10.91,43.16,996,246,36
2010-06,100,Two,10.91,43.16,1226,238,68
2010-06,200,Two,10.91,43.16,176,181,61
2010-06,500,Two,10.91,43.16,419,222,76
2010-07,0,Two,209.22,7.57,41,135,33
2010-07,50,Two,209.22,7.57,97,142,15
2010-07,100,Two,209.22,7.57,346,224,29
2010-07,200,Two,209.22,7.57,51,154,30
2010-07,500,Two,209.22,7.57,52,201,51
2010-08,0,Two,484.93,39.19,61,149,23
2010-08,50,Two,484.93,39.19,60,225,37
2010-08,100,Two,484.93,39.19,77,208,36
2010-08,200,Two,484.93,39.19,121,142,47
2010-08,500,Two,484.93,39.19,28,172,38
2010-09,0,Two,484.93,39.19,0,94,9
2010-09,50,Two,484.93,39.19,73,223,29
2010-09,100,Two,484.93,39.19,18,218,17
2010-09,200,Two,484.93,39.19,79,216,23
2010-09,500,Two,484.93,39.19,18,199,20
2010-10,0,Two,484.93,39.19,194,154,16
2010-10,50,Two,484.93,39.19,380,250,18
2010-10,100,Two,484.93,39.19,251,282,24
2010-10,200,Two,484.93,39.19,170,347,27
2010-10,500,Two,484.93,39.19,190,341,41
2010-11,0,Two,2.4,23.59,138,146,17
2010-11,50,Two,2.4,23.59,199,177,18
2010-11,100,Two,2.4,23.59,110,238,43
2010-11,200,Two,2.4,23.59,96,225,26
2010-11,500,Two,2.4,23.59,75,227,42
2010-12,0,Two,696.4,2194.02,35,122,10
2010-12,50,Two,696.4,2194.02,214,168,15
2010-12,100,Two,696.4,2194.02,98,153,11
2010-12,200,Two,696.4,2194.02,152,188,12
2010-12,500,Two,696.4,2194.02,22,169,9
2010-13,0,Two,0.52,2194.02,97,170,4
2010-13,50,Two,0.52,2194.02,199,144,47
2010-13,100,Two,0.52,2194.02,123,146,28
2010-13,200,Two,0.52,2194.02,124,163,49
2010-13,500,Two,0.52,2194.02,122,137,62
2010-14,0,Two,696.4,2194.02,36,79,9
2010-14,50,Two,696.4,2194.02,91,161,23
2010-14,100,Two,696.4,2194.02,48,132,26
2010-14,200,Two,696.4,2194.02,22,199,39
2010-14,500,Two,696.4,2194.02,52,160,46
2010-15,0,Two,4880.94,938.47,31,140,17
2010-15,50,Two,4880.94,938.47,205,218,18
2010-15,100,Two,4880.94,938.47,205,229,23
2010-15,200,Two,4880.94,938.47,119,177,43
2010-15,500,Two,4880.94,938.47,370,328,77
