Plot,Distance,Patch_Size,Prox,Cotton_Loss_1,P_Sorption_0_15,Litter_Loss_Holes,N_0_15,C_0_15,Soybean
2010-09,10,484.93,39.19,81.01,6.0444,36.0975,0.1352,1.1509,1371
2010-09,25,484.93,39.19,71.17,4.8643,34.4332,0.151,1.6324,3756.5
2010-10,0,484.93,39.19,84.51,2.4234,39.0855,0.1833,1.7452,2690
2010-10,5,484.93,39.19,56.05,2.7262,38.1174,0.2513,2.1696,2269.75
2010-10,10,484.93,39.19,53.19,3.2676,35.6364,0.2062,1.9912,2960.5
2010-10,25,484.93,39.19,54.63,1.2731,35.86,0.1575,1.4609,2511
2010-11,0,2.4,23.59,65.68,4.2882,25.4144,0.1668,1.6564,797.75
2010-11,5,2.4,23.59,67.74,6.9229,37.281,0.1828,1.6341,2742.25
2010-11,10,2.4,23.59,77.98,4.2635,31.8757,0.1954,1.4945,4808.5
2010-11,25,2.4,23.59,21.84,2.7016,34.9009,0.1564,1.4683,2489.5
2010-12,0,696.4,2194.02,18.8,6.2128,40.065,0.1024,1.0467,2167.87
2010-12,5,696.4,2194.02,17.92,3.4891,36.3486,0.1687,1.5001,2096.13
2010-12,10,696.4,2194.02,79.5,5.149,35.5445,0.1739,1.4906,2095.47
2010-12,25,696.4,2194.02,9.22,3.6574,39.6029,0.1694,1.484,3100.13
2010-13,0,0.52,2194.02,47.17,0.6027,35.7131,0.1236,1.1237,1278.5
2010-13,5,0.52,2194.02,40.38,1.0329,34.2565,0.1449,1.6495,1879
2010-13,10,0.52,2194.02,86.8,1.4064,33.4943,0.1696,1.8185,2040
2010-13,25,0.52,2194.02,38.86,1.6025,35.712,0.197,2.0113,4534
2010-14,0,696.4,2194.02,10.17,4.2553,30.4387,0.2805,2.7345,389.07
2010-14,5,696.4,2194.02,26.9,2.122,36.3393,0.1319,2.0901,2207.87
2010-14,10,696.4,2194.02,25.12,2.1749,32.8264,0.2564,2.095,2908.93
2010-14,25,696.4,2194.02,24.65,4.1707,38.886,0.2567,2.2382,2292
2010-15,0,4880.94,938.47,58.76,2.0702,36.9652,0.0879,0.8867,2288.4
2010-15,5,4880.94,938.47,37.63,5.8009,37.2071,0.1363,1.03,1673.47
2010-15,10,4880.94,938.47,76.44,9.7595,41.4047,0.1033,1.6273,1135.07
2010-15,25,4880.94,938.47,22.97,8.8199,39.1958,0.1226,1.6773,3703.47
2011-01,0,32.4,5.17,20.01,0.1935,41.3046,0.1505,0.9957,2537.43
2011-01,10,32.4,5.17,25.78,1.6878,38.5659,0.3486,2.7592,4126.57
2011-01,25,32.4,5.17,26.5,3.27,38.4119,0.3409,2.6272,5092.57
2011-01,50,32.4,5.17,25.72,0.9906,41.7764,0.1664,1.2273,3100.57
2011-01,100,32.4,5.17,16.77,1.1903,43.4816,0.2382,1.5808,5036
2011-02,0,37.8,16.6,69.57,0.4222,47.9596,0.329,2.383,743.25
2011-02,10,37.8,16.6,90.03,1.075,41.1477,0.3868,2.4663,890.25
2011-02,25,37.8,16.6,60.12,1.2238,46.076,0.4288,2.8825,1097
2011-02,50,37.8,16.6,35.65,2.6393,56.0938,0.2963,2.2394,994.5
2011-02,100,37.8,16.6,26.24,3.8993,42.1779,0.2944,2.3377,661.13
2011-03,0,11.8,22.62,53.29,10.2202,46.1388,0.1062,0.8448,1090.41
2011-03,10,11.8,22.62,79.25,30.4667,41.938,0.0908,0.6641,2572.19
2011-03,25,11.8,22.62,65.85,27.8548,45.3183,0.0919,0.7672,2288.49
2011-03,50,11.8,22.62,69.78,16.4895,46.1457,0.1106,0.8803,2864.38
2011-03,100,11.8,22.62,62.46,15.8215,48.3019,0.1027,0.8672,1963.01
2011-04,0,2.6,9.46,7.49,1.7744,45.8805,0.2166,1.5025,647.05
2011-04,10,2.6,9.46,56.47,3.2475,48.1622,0.2669,1.9096,1096.92
2011-04,25,2.6,9.46,54.86,3.5464,47.4535,0.2574,1.8831,1729.87
2011-04,50,2.6,9.46,54.17,2.8651,44.8671,0.2236,1.5849,2184.49
2011-04,100,2.6,9.46,45.86,2.0116,49.2302,0.2425,1.7267,2125.26
2011-05,0,126.2,351.37,26.41,1.2314,59.6168,0.4632,2.6688,1328.11
2011-05,10,126.2,351.37,55.43,0.944,54.401,0.3273,2.4329,3020.68
2011-05,25,126.2,351.37,78.49,1.3288,64.8693,0.4667,2.6212,1841.22
2011-05,50,126.2,351.37,47.93,1.6119,83.3285,0.4892,2.9841,2592.84
2011-05,100,126.2,351.37,39.42,2.8736,51.5677,0.3195,2.5163,2943.38
2011-06,0,4880.9,938.47,35.06,1.8916,41.6558,0.0944,0.6378,882.44
2011-06,10,4880.9,938.47,43.19,8.0588,50.0354,0.1665,1.0559,2037.82
2011-06,25,4880.9,938.47,61.43,4.8374,62.0742,0.1983,1.2834,2934.23
2011-06,50,4880.9,938.47,50.87,5.1793,59.3084,0.2215,1.5001,2792.44
2011-06,100,4880.9,938.47,53.92,4.7601,55.8149,0.2306,1.7249,2677.31
2011-07,0,438.8,16.22,27.28,1.3558,52.4654,0.2767,2.2404,2545.26
2011-07,10,438.8,16.22,11.94,2.6244,51.9252,0.2581,2.1497,2821.05
2011-07,25,438.8,16.22,42.82,1.8771,48.2458,0.2305,1.9196,4040.26
2011-07,50,438.8,16.22,10.5,1.9343,46.9883,0.233,1.9169,4166.05
2011-07,100,438.8,16.22,19.54,2.4804,54.3448,0.2594,2.1311,4126.84
2011-08,0,907.9,53.12,38.01,1.8937,44.4037,0.2284,1.8119,922.71
2011-08,10,907.9,53.12,49.18,2.6885,51.8736,0.2074,1.5303,1071.88
2011-08,25,907.9,53.12,44,1.0204,56.8689,0.1914,1.3798,1291.65
2011-08,50,907.9,53.12,51.4,0.9739,48.7641,0.1945,1.451,1563.65
2011-08,100,907.9,53.12,22.87,1.5947,54.5024,0.2425,2.5349,593.41
2011-09,0,209.2,7.57,88.55,2.4708,51.6756,0.1026,0.7399,621.77
2011-09,10,209.2,7.57,59.41,1.8925,54.1417,0.0875,0.686,898.35
2011-09,25,209.2,7.57,37.76,1.8479,53.7199,0.1651,1.2017,1354.68
2011-09,50,209.2,7.57,38.4,0.9834,52.5667,0.1716,1.1929,1025.7
2011-09,100,209.2,7.57,22.99,1.7297,52.0298,0.3411,2.0635,986.33
2011-10,0,4.1,19.12,90.19,0.889,50.1848,0.1292,1.0048,566.79
2011-10,10,4.1,19.12,25.48,0.8025,45.2463,0.1624,1.2795,557.44
2011-10,25,4.1,19.12,36.21,0.9099,44.9223,0.1937,1.4518,1471.54
2011-10,50,4.1,19.12,28.31,0.7411,50.1992,0.1804,1.4662,1596.79
2011-10,100,4.1,19.12,,0.6455,48.3765,0.1995,1.5344,1505.26
2011-11,0,696.4,2194.02,41.31,0.8605,53.5179,0.1546,1.2167,1849.57
2011-11,10,696.4,2194.02,38.78,1.0518,41.3799,0.1585,1.236,1865.65
2011-11,25,696.4,2194.02,24.55,2.4836,41.0252,0.1379,1.0907,2236.96
2011-11,50,696.4,2194.02,36.26,2.7258,42.5788,0.1634,1.2533,2482.17
2011-11,100,696.4,2194.02,19.34,4.8091,43.0604,0.1566,1.2263,2679.57
2011-12,0,696.4,2194.02,12.19,2.1885,38.8347,0.4433,2.457,448.59
2011-12,10,696.4,2194.02,24.66,2.3498,54.9406,0.3966,2.0905,2688.33
2011-12,25,696.4,2194.02,16.05,1.1601,44.5477,0.2844,1.9475,1621.92
2011-12,50,696.4,2194.02,19.31,2.761,31.4814,0.2707,1.8655,1744.49
2011-12,100,696.4,2194.02,28.53,1.2384,60.4359,0.2811,1.9709,2408.97
2011-13,0,113.8,413.32,53.97,9.6446,45.2414,0.1601,1.2179,3041.08
2011-13,10,113.8,413.32,60.34,5.1615,43.1005,0.1313,1.0012,3418.38
2011-13,25,113.8,413.32,53.3,4.9979,44.9347,0.1591,1.2942,4052.16
2011-13,50,113.8,413.32,48.89,7.044,39.3443,0.1487,1.0839,3570.81
2011-13,100,113.8,413.32,28.28,5.6197,48.741,0.1214,0.8325,4075.14
2011-14,0,48.7,170.19,72.75,3.5015,50.3712,0.2619,2.2488,2911.73
2011-14,10,48.7,170.19,74.66,5.8292,46.0763,0.2411,2.0876,2204.93
2011-14,25,48.7,170.19,47.38,3.9726,44.4238,0.1833,1.5088,3233.33
2011-14,50,48.7,170.19,40.11,2.5921,39.445,0.1573,1.2895,3297.87
2011-14,100,48.7,170.19,53.58,3.9751,46.3491,0.1745,1.4897,4245.6
2011-15,0,2.6,2.69,17.88,3.2494,47.8153,0.1949,1.5167,1574.21
2011-15,10,2.6,2.69,19.85,4.101,47.2552,0.1882,1.461,3432.11
2011-15,25,2.6,2.69,5.5,3.6273,51.8014,0.1724,1.3272,2798.95
2011-15,50,2.6,2.69,9.42,3.4544,51.4889,0.2123,1.761,2079.47
2011-15,100,2.6,2.69,14.36,3.4539,50.3949,0.2036,1.6206,2670
2011-16,0,376.8,176.61,87.34,4.6517,43.5658,0.1637,1.1655,3064.44
2011-16,10,376.8,176.61,84.67,6.3438,46.8385,0.1358,0.9835,4567.22
2011-16,25,376.8,176.61,75.88,5.8393,45.5063,0.112,0.8019,2900.56
2011-16,50,376.8,176.61,91.22,4.2853,38.308,0.1112,0.8396,4622.22
2011-16,100,376.8,176.61,47.47,5.5648,41.4223,0.1092,0.8046,4644.72
2011-17,0,223.2,791.79,62.22,6.1358,53.6989,0.398,2.5968,1409.6
2011-17,10,223.2,791.79,73.16,5.2032,53.0146,0.2566,2.1624,1861.73
2011-17,25,223.2,791.79,78.89,9.4123,48.7721,0.2111,1.7548,3172
2011-17,50,223.2,791.79,63.18,8.1244,54.7023,0.2696,2.3466,3580
2011-17,100,223.2,791.79,59.29,15.4317,39.8894,0.258,2.2545,3406.67
2011-18,0,140,206.54,45.56,6.1767,47.443,0.1707,1.2389,2126.8
2011-18,10,140,206.54,47.09,3.3268,47.7583,0.1673,1.1942,2268.27
2011-18,25,140,206.54,50.24,2.4922,44.0939,0.1448,1.0255,2566.93
2011-18,50,140,206.54,64.52,3.5679,43.0249,0.1692,1.1066,2389.73
2011-18,100,140,206.54,45.58,6.7152,47.5191,0.2599,1.8789,4270.13
2011-19,0,39.9,58.73,51.61,1.7493,49.1534,0.1587,1.4525,2860
2011-19,10,39.9,58.73,58.12,1.4358,46.5142,0.1287,1.1626,1636.6
2011-19,25,39.9,58.73,54.08,3.148,45.2981,0.0935,0.7984,1666.2
2011-19,50,39.9,58.73,51.51,2.0989,56.695,0.0697,0.4501,1421.6
2011-19,100,39.9,58.73,38.31,2.2163,47.0907,0.1899,1.4368,2849
2011-20,0,718,1271.16,63.15,1.5842,43.7967,0.2849,1.9597,2095
2011-20,10,718,1271.16,21.26,0.991,38.9499,0.2146,1.3356,2079.74
2011-20,25,718,1271.16,40.19,0.9468,39.9229,0.2739,1.808,3583.95
2011-20,50,718,1271.16,37.51,1.2842,44.3714,0.2879,1.931,2916.05
2011-20,100,718,1271.16,72.89,1.3943,42.537,0.2614,1.716,3514.74
2011-21,0,5.2,41.23,40.5,4.3309,51.8153,0.2504,2.4946,1080.93
2011-21,10,5.2,41.23,67.22,6.0823,41.7003,0.2125,1.5552,2252.93
2011-21,25,5.2,41.23,19.54,5.958,36.1578,0.1964,1.4104,2122.27
2011-21,50,5.2,41.23,22.5,2.3149,40.5309,0.1598,1.1878,1909.2
2011-21,100,5.2,41.23,29.51,3.5687,55.7354,0.1725,1.2152,1577.2
